2024-01-22 14:40:10 | INFO     | DF | Running on device cuda:0
2024-01-22 14:40:10 | INFO     | DF | Model loaded
2024-01-22 14:40:48 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:40:48 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:40:48 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:40:48 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:40:50 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:40:50 | INFO     | DF | Running on device cuda:0
2024-01-22 14:40:50 | INFO     | DF | Model loaded
2024-01-22 14:42:28 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:42:28 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:42:28 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:42:28 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:42:30 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:42:30 | INFO     | DF | Running on device cuda:0
2024-01-22 14:42:30 | INFO     | DF | Model loaded
2024-01-22 14:44:58 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:44:58 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:44:58 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:44:58 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:45:00 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:45:00 | INFO     | DF | Running on device cuda:0
2024-01-22 14:45:00 | INFO     | DF | Model loaded
2024-01-22 14:46:53 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:46:53 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:46:53 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:46:53 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:46:55 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:46:55 | INFO     | DF | Running on device cuda:0
2024-01-22 14:46:55 | INFO     | DF | Model loaded
2024-01-22 14:49:27 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:49:27 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:49:27 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:49:27 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:49:28 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:49:28 | INFO     | DF | Running on device cuda:0
2024-01-22 14:49:28 | INFO     | DF | Model loaded
2024-01-22 14:50:45 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:50:45 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:50:45 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:50:45 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:50:46 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:50:46 | INFO     | DF | Running on device cuda:0
2024-01-22 14:50:46 | INFO     | DF | Model loaded
2024-01-22 14:53:19 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:53:19 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:53:19 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:53:19 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:53:20 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:53:20 | INFO     | DF | Running on device cuda:0
2024-01-22 14:53:20 | INFO     | DF | Model loaded
2024-01-22 14:54:38 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 14:54:38 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 14:54:38 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 14:54:38 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 14:54:39 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 14:54:39 | INFO     | DF | Running on device cuda:0
2024-01-22 14:54:39 | INFO     | DF | Model loaded
2024-01-22 15:00:24 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 15:00:24 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 15:00:24 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 15:00:24 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 15:00:25 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 15:00:25 | INFO     | DF | Running on device cuda:0
2024-01-22 15:00:25 | INFO     | DF | Model loaded
2024-01-22 15:10:25 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-22 15:10:25 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-22 15:10:25 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-22 15:10:25 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-22 15:10:26 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-22 15:10:26 | INFO     | DF | Running on device cuda:0
2024-01-22 15:10:26 | INFO     | DF | Model loaded
2024-01-24 15:15:36 | INFO     | DF | Running on torch 1.13.0+cu117
2024-01-24 15:15:36 | INFO     | DF | Running on host jyd01-Super-Server
2024-01-24 15:15:36 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-24 15:15:36 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-24 15:15:38 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-24 15:15:38 | INFO     | DF | Running on device cuda:0
2024-01-24 15:15:38 | INFO     | DF | Model loaded
2024-01-24 15:46:06 | INFO     | DF | Running on torch 2.1.2+cu121
2024-01-24 15:46:06 | INFO     | DF | Running on host root
2024-01-24 15:46:06 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-24 15:46:06 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-24 15:46:06 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-24 15:46:06 | INFO     | DF | Running on device cuda:0
2024-01-24 15:46:06 | INFO     | DF | Model loaded
2024-01-24 15:47:17 | INFO     | DF | Running on torch 2.1.2+cu121
2024-01-24 15:47:17 | INFO     | DF | Running on host root
2024-01-24 15:47:17 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-24 15:47:17 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-24 15:47:18 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-24 15:47:18 | INFO     | DF | Running on device cuda:0
2024-01-24 15:47:18 | INFO     | DF | Model loaded
2024-01-24 15:48:39 | INFO     | DF | Running on torch 2.1.2+cu121
2024-01-24 15:48:39 | INFO     | DF | Running on host root
2024-01-24 15:48:39 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-24 15:48:39 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-24 15:48:39 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-24 15:48:39 | INFO     | DF | Running on device cuda:0
2024-01-24 15:48:39 | INFO     | DF | Model loaded
2024-01-24 16:02:25 | INFO     | DF | Running on torch 2.1.2+cu121
2024-01-24 16:02:25 | INFO     | DF | Running on host root
2024-01-24 16:02:25 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-24 16:02:25 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-24 16:02:25 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-24 16:02:25 | INFO     | DF | Running on device cuda:0
2024-01-24 16:02:25 | INFO     | DF | Model loaded
2024-01-24 16:08:08 | INFO     | DF | Running on torch 2.1.2+cu121
2024-01-24 16:08:08 | INFO     | DF | Running on host root
2024-01-24 16:08:08 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-24 16:08:08 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-24 16:08:08 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-24 16:08:08 | INFO     | DF | Running on device cuda:0
2024-01-24 16:08:08 | INFO     | DF | Model loaded
2024-01-24 16:10:49 | INFO     | DF | Running on torch 2.1.2+cu121
2024-01-24 16:10:49 | INFO     | DF | Running on host root
2024-01-24 16:10:49 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-24 16:10:49 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-24 16:10:49 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-24 16:10:49 | INFO     | DF | Running on device cuda:0
2024-01-24 16:10:49 | INFO     | DF | Model loaded
2024-01-24 16:13:19 | INFO     | DF | Running on torch 2.1.2+cu121
2024-01-24 16:13:19 | INFO     | DF | Running on host root
2024-01-24 16:13:19 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-24 16:13:19 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-24 16:13:19 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-01-24 16:13:19 | INFO     | DF | Running on device cuda:0
2024-01-24 16:13:19 | INFO     | DF | Model loaded
2024-01-24 16:18:37 | INFO     | DF | Running on torch 2.1.2+cu121
2024-01-24 16:18:37 | INFO     | DF | Running on host root
2024-01-24 16:18:37 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-01-24 16:18:37 | INFO     | DF | Initializing model `deepfilternet2`
2024-01-24 16:18:37 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
